f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,5.302999999999999545e+02,2.756635736619550244e+03,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,2.738967657865076944e+03,nan,nan
0.000000000000000000e+00,nan,7.320000000000000000e+02,2.604752900942641645e+03,nan,nan
0.000000000000000000e+00,nan,9.296999999999999318e+02,2.528053028186372103e+03,nan,nan
0.000000000000000000e+00,nan,9.956000000000000227e+02,2.506903470432808717e+03,nan,nan
0.000000000000000000e+00,nan,1.128000000000000000e+03,2.475405175089928434e+03,nan,nan
0.000000000000000000e+00,nan,1.325000000000000000e+03,2.466667608039818788e+03,nan,nan
0.000000000000000000e+00,nan,1.589000000000000000e+03,2.481625457810943317e+03,nan,nan
0.000000000000000000e+00,nan,1.984000000000000000e+03,2.474398366809627078e+03,nan,nan
0.000000000000000000e+00,nan,2.380000000000000000e+03,2.453558879180417534e+03,nan,nan
0.000000000000000000e+00,nan,2.578000000000000000e+03,2.443142947025966805e+03,nan,nan
1.000000000000000194e-02,1.757599999999999909e+03,5.302999999999999545e+02,2.788645056074900822e+03,1.010091342295042161e+00,1.011611733472846719e+00
1.000000000000000194e-02,1.757599999999999909e+03,6.660000000000000000e+02,2.770460037044952969e+03,1.010061115841109247e+00,1.011497901075773642e+00
1.000000000000000194e-02,1.757599999999999909e+03,7.320000000000000000e+02,2.632794317668607619e+03,1.010035315534971945e+00,1.010765480562788809e+00
1.000000000000000194e-02,1.757599999999999909e+03,9.296999999999999318e+02,2.553958961344360432e+03,1.009910126891257809e+00,1.010247385188978164e+00
1.000000000000000194e-02,1.757599999999999909e+03,9.956000000000000227e+02,2.532195332387798771e+03,1.009853478653151670e+00,1.010088885453026109e+00
1.000000000000000194e-02,1.757599999999999909e+03,1.128000000000000000e+03,2.499670409655818730e+03,1.009721332457225840e+00,1.009802530434238399e+00
1.000000000000000194e-02,1.757599999999999909e+03,1.325000000000000000e+03,2.490175442896980258e+03,1.009492114742966073e+00,1.009530199683386753e+00
1.000000000000000194e-02,1.757599999999999909e+03,1.589000000000000000e+03,2.504595527100805612e+03,1.009155919561021353e+00,1.009256058047584892e+00
1.000000000000000194e-02,1.757599999999999909e+03,1.984000000000000000e+03,2.495991749947745575e+03,1.008656981243930773e+00,1.008726720574892655e+00
1.000000000000000194e-02,1.757599999999999909e+03,2.380000000000000000e+03,2.473645747282149387e+03,1.008207407549140511e+00,1.008186829455032907e+00
1.000000000000000194e-02,1.757599999999999909e+03,2.578000000000000000e+03,2.462564086579632658e+03,1.008006585134852084e+00,1.007949244057662286e+00
