f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,3.060000000000000000e+02,2.312418123611603733e+03,nan,nan
0.000000000000000000e+00,nan,4.460000000000000000e+02,2.087061661749767154e+03,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,1.984097058636002885e+03,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,1.908901434237275680e+03,nan,nan
0.000000000000000000e+00,nan,7.980000000000000000e+02,1.848253425138390867e+03,nan,nan
0.000000000000000000e+00,nan,9.296999999999999318e+02,1.811198651277212775e+03,nan,nan
0.000000000000000000e+00,nan,1.457000000000000000e+03,1.757876787262247035e+03,nan,nan
0.000000000000000000e+00,nan,2.314000000000000000e+03,1.703227075082414103e+03,nan,nan
0.000000000000000000e+00,nan,2.973000000000000000e+03,1.677999874386992815e+03,nan,nan
0.000000000000000000e+00,nan,4.293000000000000000e+03,1.636781062417824614e+03,nan,nan
0.000000000000000000e+00,nan,5.215000000000000000e+03,1.585396098463753788e+03,nan,nan
1.000000000000000194e-02,2.301000000000000000e+03,3.060000000000000000e+02,2.346815218682851537e+03,1.010100542383551625e+00,1.014874946152698909e+00
1.000000000000000194e-02,2.301000000000000000e+03,4.460000000000000000e+02,2.114267265880043396e+03,1.010090255537892556e+00,1.013035361929588207e+00
1.000000000000000194e-02,2.301000000000000000e+03,5.580000000000000000e+02,2.008392782290480227e+03,1.010058547835424259e+00,1.012245229409885816e+00
1.000000000000000194e-02,2.301000000000000000e+03,6.660000000000000000e+02,1.931122607531365929e+03,1.009998286173641846e+00,1.011640817538056458e+00
1.000000000000000194e-02,2.301000000000000000e+03,7.980000000000000000e+02,1.868750356913140195e+03,1.009883678238552518e+00,1.011089892487668340e+00
1.000000000000000194e-02,2.301000000000000000e+03,9.296999999999999318e+02,1.830522092817865541e+03,1.009732114593455687e+00,1.010668869219301991e+00
1.000000000000000194e-02,2.301000000000000000e+03,1.457000000000000000e+03,1.774564816387491646e+03,1.008974471498578884e+00,1.009493287155372787e+00
1.000000000000000194e-02,2.301000000000000000e+03,2.314000000000000000e+03,1.716971178157500390e+03,1.007920080142362673e+00,1.008069448446515137e+00
1.000000000000000194e-02,2.301000000000000000e+03,2.973000000000000000e+03,1.690337796787844127e+03,1.007369738916797708e+00,1.007352755258911214e+00
1.000000000000000194e-02,2.301000000000000000e+03,4.293000000000000000e+03,1.647427264154122213e+03,1.006684637910701730e+00,1.006504352952722448e+00
1.000000000000000194e-02,2.301000000000000000e+03,5.215000000000000000e+03,1.594940979642967022e+03,1.006389114187768108e+00,1.006020502503104597e+00
1.000000000000000194e-02,2.838250000000000000e+03,3.060000000000000000e+02,2.346740111133671689e+03,1.010078590943680465e+00,1.014842466062522819e+00
1.000000000000000194e-02,2.838250000000000000e+03,4.460000000000000000e+02,2.113882701308189553e+03,1.009948033635457154e+00,1.012851100688580530e+00
1.000000000000000194e-02,2.838250000000000000e+03,5.580000000000000000e+02,2.007637614349078149e+03,1.009746559064506055e+00,1.011864619026882961e+00
1.000000000000000194e-02,2.838250000000000000e+03,6.660000000000000000e+02,1.929998157081058707e+03,1.009493126268999008e+00,1.011051761220040479e+00
1.000000000000000194e-02,2.838250000000000000e+03,7.980000000000000000e+02,1.867210447951239757e+03,1.009141949169266583e+00,1.010256722673964269e+00
1.000000000000000194e-02,2.838250000000000000e+03,9.296999999999999318e+02,1.828629494121880498e+03,1.008779717674869181e+00,1.009623926581645792e+00
1.000000000000000194e-02,2.838250000000000000e+03,1.457000000000000000e+03,1.771860096562716308e+03,1.007520556439175374e+00,1.007954658370708190e+00
1.000000000000000194e-02,2.838250000000000000e+03,2.314000000000000000e+03,1.714134641450981690e+03,1.006285709686900232e+00,1.006404058817606417e+00
1.000000000000000194e-02,2.838250000000000000e+03,2.973000000000000000e+03,1.687615813433018729e+03,1.005743811187018943e+00,1.005730595808023375e+00
1.000000000000000194e-02,2.838250000000000000e+03,4.293000000000000000e+03,1.644946541639935504e+03,1.005126804385821915e+00,1.004988742483401420e+00
1.000000000000000194e-02,2.838250000000000000e+03,5.215000000000000000e+03,1.592680242846533702e+03,1.004875408161102435e+00,1.004594526497093243e+00
1.000000000000000194e-02,3.375500000000000000e+03,3.060000000000000000e+02,2.345744527774362723e+03,1.009787572379173159e+00,1.014411928285144482e+00
1.000000000000000194e-02,3.375500000000000000e+03,4.460000000000000000e+02,2.111771390723937657e+03,1.009167008184281622e+00,1.011839481998559664e+00
1.000000000000000194e-02,3.375500000000000000e+03,5.580000000000000000e+02,2.004854031029568205e+03,1.008596192328350849e+00,1.010461671873973177e+00
1.000000000000000194e-02,3.375500000000000000e+03,6.660000000000000000e+02,1.926806544927495224e+03,1.008058840651404608e+00,1.009379798437510134e+00
1.000000000000000194e-02,3.375500000000000000e+03,7.980000000000000000e+02,1.863719712901335015e+03,1.007460071825387882e+00,1.008368055783143591e+00
1.000000000000000194e-02,3.375500000000000000e+03,9.296999999999999318e+02,1.824973935116602661e+03,1.006939671023945770e+00,1.007605617324016878e+00
1.000000000000000194e-02,3.375500000000000000e+03,1.457000000000000000e+03,1.768123278653499483e+03,1.005511441184464561e+00,1.005828901926175689e+00
1.000000000000000194e-02,3.375500000000000000e+03,2.314000000000000000e+03,1.710869274735737918e+03,1.004404129920524191e+00,1.004486894181713330e+00
1.000000000000000194e-02,3.375500000000000000e+03,2.973000000000000000e+03,1.684646664005029379e+03,1.003970257041192138e+00,1.003961138328728797e+00
1.000000000000000194e-02,3.375500000000000000e+03,4.293000000000000000e+03,1.642360943900578150e+03,1.003503250192327778e+00,1.003409057943590144e+00
1.000000000000000194e-02,3.375500000000000000e+03,5.215000000000000000e+03,1.590356427015437930e+03,1.003319740547791827e+00,1.003128762935956875e+00
1.000000000000000194e-02,3.912750000000000000e+03,3.060000000000000000e+02,2.339568917301582132e+03,1.007980609942894956e+00,1.011741299470345634e+00
1.000000000000000194e-02,3.912750000000000000e+03,4.460000000000000000e+02,2.104939991995347100e+03,1.006637489259439855e+00,1.008566268344266881e+00
1.000000000000000194e-02,3.912750000000000000e+03,5.580000000000000000e+02,1.998121626342608351e+03,1.005811546674548751e+00,1.007068488734239153e+00
1.000000000000000194e-02,3.912750000000000000e+03,6.660000000000000000e+02,1.920413925902586470e+03,1.005184034131866522e+00,1.006030951341346125e+00
1.000000000000000194e-02,3.912750000000000000e+03,7.980000000000000000e+02,1.857760354301740790e+03,1.004587202235668109e+00,1.005143736802564414e+00
1.000000000000000194e-02,3.912750000000000000e+03,9.296999999999999318e+02,1.819392481048454101e+03,1.004128968597097549e+00,1.004523981820251155e+00
1.000000000000000194e-02,3.912750000000000000e+03,1.457000000000000000e+03,1.763566611019284892e+03,1.003060904453444646e+00,1.003236759139358947e+00
1.000000000000000194e-02,3.912750000000000000e+03,2.314000000000000000e+03,1.707320830327208114e+03,1.002359284055080124e+00,1.002403528751206530e+00
1.000000000000000194e-02,3.912750000000000000e+03,2.973000000000000000e+03,1.681524139420242818e+03,1.002105103227963978e+00,1.002100277292653274e+00
1.000000000000000194e-02,3.912750000000000000e+03,4.293000000000000000e+03,1.639714675039205531e+03,1.001841745469070011e+00,1.001792306062637028e+00
1.000000000000000194e-02,3.912750000000000000e+03,5.215000000000000000e+03,1.587997410665065217e+03,1.001740791909433437e+00,1.001640796393930888e+00
1.000000000000000194e-02,4.450000000000000000e+03,3.060000000000000000e+02,2.316180571131143552e+03,1.001109473231120539e+00,1.001627061940538521e+00
1.000000000000000194e-02,4.450000000000000000e+03,4.460000000000000000e+02,2.089146718583734128e+03,1.000775405853507438e+00,1.000999039401748725e+00
1.000000000000000194e-02,4.450000000000000000e+03,5.580000000000000000e+02,1.985606310462073679e+03,1.000626106118762459e+00,1.000760674393171179e+00
1.000000000000000194e-02,4.450000000000000000e+03,6.660000000000000000e+02,1.910077017776568027e+03,1.000529761525631445e+00,1.000615842975550063e+00
1.000000000000000194e-02,4.450000000000000000e+03,7.980000000000000000e+02,1.849182242732561008e+03,1.000448389143473671e+00,1.000502538007795428e+00
1.000000000000000194e-02,4.450000000000000000e+03,9.296999999999999318e+02,1.811975166668200472e+03,1.000391434715685479e+00,1.000428730106683872e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.457000000000000000e+03,1.758384967726067771e+03,1.000273425026536156e+00,1.000289087646815123e+00
1.000000000000000194e-02,4.450000000000000000e+03,2.314000000000000000e+03,1.703582339912856924e+03,1.000204751957043836e+00,1.000208583362512282e+00
1.000000000000000194e-02,4.450000000000000000e+03,2.973000000000000000e+03,1.678303307385054040e+03,1.000181244869874586e+00,1.000180830167327617e+00
