f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,3.618000000000000114e+02,1.908967003336536891e+03,nan,nan
0.000000000000000000e+00,nan,4.460000000000000000e+02,2.055538481405272250e+03,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,1.959154563641596269e+03,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,1.895697036650045902e+03,nan,nan
0.000000000000000000e+00,nan,7.980000000000000000e+02,1.836681990826427636e+03,nan,nan
0.000000000000000000e+00,nan,9.296999999999999318e+02,1.800533641310275698e+03,nan,nan
0.000000000000000000e+00,nan,1.128000000000000000e+03,1.767853713079969793e+03,nan,nan
0.000000000000000000e+00,nan,1.589000000000000000e+03,1.714167336920868820e+03,nan,nan
0.000000000000000000e+00,nan,1.984000000000000000e+03,1.703634246871921277e+03,nan,nan
0.000000000000000000e+00,nan,2.380000000000000000e+03,1.697309755110176866e+03,nan,nan
0.000000000000000000e+00,nan,2.578000000000000000e+03,1.693099852538515506e+03,nan,nan
1.000000000000000194e-02,2.301000000000000000e+03,3.618000000000000114e+02,1.931502670528883982e+03,1.010098826916481451e+00,1.011805163291433995e+00
1.000000000000000194e-02,2.301000000000000000e+03,4.460000000000000000e+02,2.081885677356010092e+03,1.010090255537892556e+00,1.012817661254741264e+00
1.000000000000000194e-02,2.301000000000000000e+03,5.580000000000000000e+02,1.982814937078858293e+03,1.010058547835424259e+00,1.012076828381158089e+00
1.000000000000000194e-02,2.301000000000000000e+03,6.660000000000000000e+02,1.917597433817697038e+03,1.009998286173641846e+00,1.011552688401281763e+00
1.000000000000000194e-02,2.301000000000000000e+03,7.980000000000000000e+02,1.856909159089758987e+03,1.009883678238552518e+00,1.011012885390262905e+00
1.000000000000000194e-02,2.301000000000000000e+03,9.296999999999999318e+02,1.819618973740499996e+03,1.009732114593455687e+00,1.010599819960228851e+00
1.000000000000000194e-02,2.301000000000000000e+03,1.128000000000000000e+03,1.785690214593515975e+03,1.009459951267477118e+00,1.010089353763593545e+00
1.000000000000000194e-02,2.301000000000000000e+03,1.589000000000000000e+03,1.729649628130491919e+03,1.008786013737565712e+00,1.009031960227076530e+00
1.000000000000000194e-02,2.301000000000000000e+03,1.984000000000000000e+03,1.718024952062302646e+03,1.008276583982195218e+00,1.008447062634954872e+00
1.000000000000000194e-02,2.301000000000000000e+03,2.380000000000000000e+03,1.710876689775875320e+03,1.007855918987898614e+00,1.007993199016768537e+00
1.000000000000000194e-02,2.301000000000000000e+03,2.578000000000000000e+03,1.706208156444954966e+03,1.007676430496090791e+00,1.007742191865875991e+00
1.000000000000000194e-02,2.838250000000000000e+03,3.618000000000000114e+02,1.931378774022940433e+03,1.010043398745188226e+00,1.011740260909293809e+00
1.000000000000000194e-02,2.838250000000000000e+03,4.460000000000000000e+02,2.081513325709493984e+03,1.009948033635457154e+00,1.012636515705833018e+00
1.000000000000000194e-02,2.838250000000000000e+03,5.580000000000000000e+02,1.982079635854949629e+03,1.009746559064506055e+00,1.011701512804962677e+00
1.000000000000000194e-02,2.838250000000000000e+03,6.660000000000000000e+02,1.916489307151381126e+03,1.009493126268999008e+00,1.010968140003045024e+00
1.000000000000000194e-02,2.838250000000000000e+03,7.980000000000000000e+02,1.855389624165870828e+03,1.009141949169266583e+00,1.010185559303614422e+00
1.000000000000000194e-02,2.838250000000000000e+03,9.296999999999999318e+02,1.817749811403812600e+03,1.008779717674869181e+00,1.009561704207319499e+00
1.000000000000000194e-02,2.838250000000000000e+03,1.128000000000000000e+03,1.783423177662668650e+03,1.008258236172340006e+00,1.008806986951184870e+00
1.000000000000000194e-02,2.838250000000000000e+03,1.589000000000000000e+03,1.726981656632098293e+03,1.007272277510187219e+00,1.007475536043200837e+00
1.000000000000000194e-02,2.838250000000000000e+03,1.984000000000000000e+03,1.715226491460497527e+03,1.006667313285266818e+00,1.006804420966449287e+00
1.000000000000000194e-02,2.838250000000000000e+03,2.380000000000000000e+03,1.708050969857155451e+03,1.006219865322727447e+00,1.006328376252265899e+00
1.000000000000000194e-02,2.838250000000000000e+03,2.578000000000000000e+03,1.703413046181379059e+03,1.006039653672225587e+00,1.006091308570726373e+00
1.000000000000000194e-02,3.375500000000000000e+03,3.618000000000000114e+02,1.930309258826867790e+03,1.009564881869547737e+00,1.011180002301259373e+00
1.000000000000000194e-02,3.375500000000000000e+03,4.460000000000000000e+02,2.079469025399349903e+03,1.009167008184281622e+00,1.011641982969697207e+00
1.000000000000000194e-02,3.375500000000000000e+03,5.580000000000000000e+02,1.979369216470794299e+03,1.008596192328350849e+00,1.010318049021933229e+00
1.000000000000000194e-02,3.375500000000000000e+03,6.660000000000000000e+02,1.913343974795811391e+03,1.008058840651404608e+00,1.009308944311560374e+00
1.000000000000000194e-02,3.375500000000000000e+03,7.980000000000000000e+02,1.851945009522904002e+03,1.007460071825387882e+00,1.008310104183908651e+00
1.000000000000000194e-02,3.375500000000000000e+03,9.296999999999999318e+02,1.814139448960028176e+03,1.006939671023945770e+00,1.007556541759392799e+00
1.000000000000000194e-02,3.375500000000000000e+03,1.128000000000000000e+03,1.779718718675105038e+03,1.006294160028618823e+00,1.006711531337320942e+00
1.000000000000000194e-02,3.375500000000000000e+03,1.589000000000000000e+03,1.723456602632067415e+03,1.005272060404561962e+00,1.005419112540018922e+00
1.000000000000000194e-02,3.375500000000000000e+03,1.984000000000000000e+03,1.711851191071978064e+03,1.004726186820183553e+00,1.004823185619298398e+00
1.000000000000000194e-02,3.375500000000000000e+03,2.380000000000000000e+03,1.704821680679757719e+03,1.004350036857853290e+00,1.004425783535954020e+00
1.000000000000000194e-02,3.375500000000000000e+03,2.578000000000000000e+03,1.700278431530088938e+03,1.004204013730047418e+00,1.004239902909926041e+00
1.000000000000000194e-02,3.912750000000000000e+03,3.618000000000000114e+02,1.925476973672624126e+03,1.007401890912098530e+00,1.008648641022726222e+00
1.000000000000000194e-02,3.912750000000000000e+03,4.460000000000000000e+02,2.072853979181777049e+03,1.006637489259439855e+00,1.008423825646244776e+00
1.000000000000000194e-02,3.912750000000000000e+03,5.580000000000000000e+02,1.972813339701118366e+03,1.005811546674548751e+00,1.006971770534599298e+00
1.000000000000000194e-02,3.912750000000000000e+03,6.660000000000000000e+02,1.907043814869613470e+03,1.005184034131866522e+00,1.005985544103407348e+00
1.000000000000000194e-02,3.912750000000000000e+03,7.980000000000000000e+02,1.846064180863859974e+03,1.004587202235668109e+00,1.005108227817495425e+00
1.000000000000000194e-02,3.912750000000000000e+03,9.296999999999999318e+02,1.808626822777270718e+03,1.004128968597097549e+00,1.004494879340941171e+00
1.000000000000000194e-02,3.912750000000000000e+03,1.128000000000000000e+03,1.774671928279736221e+03,1.003617571558652610e+00,1.003856775676245094e+00
1.000000000000000194e-02,3.912750000000000000e+03,1.589000000000000000e+03,1.719279817675167806e+03,1.002901744967308773e+00,1.002982486391020833e+00
1.000000000000000194e-02,3.912750000000000000e+03,1.984000000000000000e+03,1.708075837398292833e+03,1.002554808351371785e+00,1.002607126814060612e+00
1.000000000000000194e-02,3.912750000000000000e+03,2.380000000000000000e+03,1.701328100316867904e+03,1.002327041542663055e+00,1.002367479002929773e+00
1.000000000000000194e-02,3.912750000000000000e+03,2.578000000000000000e+03,1.696926093946227184e+03,1.002240811142964150e+00,1.002259902983261730e+00
1.000000000000000194e-02,4.450000000000000000e+03,3.618000000000000114e+02,1.911076323790839069e+03,1.000946689226727582e+00,1.001104953857565594e+00
1.000000000000000194e-02,4.450000000000000000e+03,4.460000000000000000e+02,2.057558149988647529e+03,1.000775405853507438e+00,1.000982549634388041e+00
1.000000000000000194e-02,4.450000000000000000e+03,5.580000000000000000e+02,1.960624576838321218e+03,1.000626106118762459e+00,1.000750330384343245e+00
1.000000000000000194e-02,4.450000000000000000e+03,6.660000000000000000e+02,1.896855745528336456e+03,1.000529761525631445e+00,1.000611231043721183e+00
1.000000000000000194e-02,4.450000000000000000e+03,7.980000000000000000e+02,1.837598650749505623e+03,1.000448389143473671e+00,1.000499084723243559e+00
1.000000000000000194e-02,4.450000000000000000e+03,9.296999999999999318e+02,1.801300638552660985e+03,1.000391434715685479e+00,1.000425983288947052e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.128000000000000000e+03,1.768480478859912864e+03,1.000332617954422965e+00,1.000354534866378264e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.589000000000000000e+03,1.714620652239373612e+03,1.000257311865837773e+00,1.000264452197134446e+00
1.000000000000000194e-02,4.450000000000000000e+03,1.984000000000000000e+03,1.704022440813357434e+03,1.000223300265161486e+00,1.000227862255145928e+00
1.000000000000000194e-02,4.450000000000000000e+03,2.380000000000000000e+03,1.697658096191489904e+03,1.000201733306982588e+00,1.000205231296328989e+00
1.000000000000000194e-02,4.450000000000000000e+03,2.578000000000000000e+03,1.693430617679792022e+03,1.000193713623459324e+00,1.000195360681640055e+00
3.250000000000000805e-02,2.301000000000000000e+03,3.618000000000000114e+02,1.983804686593204679e+03,1.033584302100108765e+00,1.039203235637842226e+00
3.250000000000000805e-02,2.301000000000000000e+03,4.460000000000000000e+02,2.143104814695262576e+03,1.033555135249010659e+00,1.042600191668572096e+00
3.250000000000000805e-02,2.301000000000000000e+03,5.580000000000000000e+02,2.037758378522824842e+03,1.033447249677017954e+00,1.040121293306804251e+00
3.250000000000000805e-02,2.301000000000000000e+03,6.660000000000000000e+02,1.968428206261418836e+03,1.033242252561203722e+00,1.038366452130926376e+00
3.250000000000000805e-02,2.301000000000000000e+03,7.980000000000000000e+02,1.903823337480847840e+03,1.032852538085754057e+00,1.036555782105866630e+00
3.250000000000000805e-02,2.301000000000000000e+03,9.296999999999999318e+02,1.863854336252801431e+03,1.032337474444380954e+00,1.035167737769368435e+00
