f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.180000000000000000e+02,3.142752512342972295e+03,nan,nan
0.000000000000000000e+00,nan,5.302999999999999545e+02,3.125909897430223737e+03,nan,nan
0.000000000000000000e+00,nan,7.320000000000000000e+02,3.011709216225066939e+03,nan,nan
0.000000000000000000e+00,nan,8.640000000000000000e+02,2.980689064883246374e+03,nan,nan
0.000000000000000000e+00,nan,1.128000000000000000e+03,2.905102423777061631e+03,nan,nan
0.000000000000000000e+00,nan,1.325000000000000000e+03,2.893772705660157953e+03,nan,nan
0.000000000000000000e+00,nan,1.919000000000000000e+03,2.891527956479622389e+03,nan,nan
0.000000000000000000e+00,nan,2.578000000000000000e+03,2.881783371913249084e+03,nan,nan
1.500000000000000222e-01,3.200000000000000000e+03,4.180000000000000000e+02,3.530177956003410600e+03,1.099346669257672549e+00,1.123275836114631332e+00
1.500000000000000222e-01,3.200000000000000000e+03,5.302999999999999545e+02,3.447032273725114464e+03,1.084032844527708761e+00,1.102729249028860936e+00
1.500000000000000222e-01,3.200000000000000000e+03,7.320000000000000000e+02,3.237951852111064909e+03,1.065590141253005774e+00,1.075121009248553694e+00
1.500000000000000222e-01,3.200000000000000000e+03,8.640000000000000000e+02,3.172452861526120614e+03,1.057412804746719059e+00,1.064335391068502945e+00
1.500000000000000222e-01,3.200000000000000000e+03,1.128000000000000000e+03,3.049716567081750327e+03,1.046297569382312886e+00,1.049779361347497275e+00
1.500000000000000222e-01,3.200000000000000000e+03,1.325000000000000000e+03,3.019803862930215018e+03,1.040785133108293348e+00,1.043552541989059002e+00
1.500000000000000222e-01,3.200000000000000000e+03,1.919000000000000000e+03,2.987427483171267795e+03,1.031141595025132807e+00,1.033165692372693290e+00
1.500000000000000222e-01,3.200000000000000000e+03,2.578000000000000000e+03,2.960897449457710991e+03,1.025901010794182389e+00,1.027453166089974834e+00
1.500000000000000222e-01,3.210172413793103260e+03,4.180000000000000000e+02,3.520244178317755086e+03,1.096852274744256839e+00,1.120114983439582712e+00
1.500000000000000222e-01,3.210172413793103260e+03,5.302999999999999545e+02,3.438033283803099039e+03,1.081716771767499141e+00,1.099850410477112073e+00
1.500000000000000222e-01,3.210172413793103260e+03,7.320000000000000000e+02,3.231078501085282824e+03,1.063614616562849502e+00,1.072838799867663617e+00
1.500000000000000222e-01,3.210172413793103260e+03,8.640000000000000000e+02,3.166446102792708189e+03,1.055625753999804406e+00,1.062320166198461813e+00
1.500000000000000222e-01,3.210172413793103260e+03,1.128000000000000000e+03,3.045021519694324070e+03,1.044799295012190488e+00,1.048163223014817902e+00
1.500000000000000222e-01,3.210172413793103260e+03,1.325000000000000000e+03,3.015645755362505952e+03,1.039442972599186055e+00,1.042115626242505755e+00
1.500000000000000222e-01,3.210172413793103260e+03,1.919000000000000000e+03,2.984187246453551325e+03,1.030091379990339062e+00,1.032045095661720646e+00
1.500000000000000222e-01,3.210172413793103260e+03,2.578000000000000000e+03,2.958198434962366719e+03,1.025018674835340482e+00,1.026516588232787575e+00
1.500000000000000222e-01,3.220344827586206975e+03,4.180000000000000000e+02,3.510089939431582025e+03,1.094299702457977475e+00,1.116883981683544524e+00
1.500000000000000222e-01,3.220344827586206975e+03,5.302999999999999545e+02,3.428896526229130359e+03,1.079362987835528864e+00,1.096927499109295656e+00
1.500000000000000222e-01,3.220344827586206975e+03,7.320000000000000000e+02,3.224143805395374329e+03,1.061620381367066823e+00,1.070536221765983509e+00
1.500000000000000222e-01,3.220344827586206975e+03,8.640000000000000000e+02,3.160400256282614009e+03,1.053826338788542705e+00,1.060291827657108277e+00
1.500000000000000222e-01,3.220344827586206975e+03,1.128000000000000000e+03,3.040309295160748206e+03,1.043295214577282914e+00,1.046541171931520964e+00
1.500000000000000222e-01,3.220344827586206975e+03,1.325000000000000000e+03,3.011477747452584481e+03,1.038097380782831536e+00,1.040675289238231382e+00
1.500000000000000222e-01,3.220344827586206975e+03,1.919000000000000000e+03,2.980945456554029533e+03,1.029040522451956541e+00,1.030923961801590627e+00
1.500000000000000222e-01,3.220344827586206975e+03,2.578000000000000000e+03,2.955500235173436067e+03,1.024136514233672468e+00,1.025580293084710881e+00
1.500000000000000222e-01,3.230517241379310235e+03,4.180000000000000000e+02,3.499713842894380832e+03,1.091688410119982411e+00,1.113582386506562161e+00
1.500000000000000222e-01,3.230517241379310235e+03,5.302999999999999545e+02,3.419622146786704889e+03,1.076971424307590297e+00,1.093960561562551392e+00
1.500000000000000222e-01,3.230517241379310235e+03,7.320000000000000000e+02,3.217148255848734152e+03,1.059607547232300773e+00,1.068213437909908414e+00
1.500000000000000222e-01,3.230517241379310235e+03,8.640000000000000000e+02,3.154315759522185999e+03,1.052014674652592241e+00,1.058250522231422464e+00
1.500000000000000222e-01,3.230517241379310235e+03,1.128000000000000000e+03,3.035580172599638900e+03,1.041785413530527782e+00,1.044913304176359192e+00
1.500000000000000222e-01,3.230517241379310235e+03,1.325000000000000000e+03,3.007300043100347011e+03,1.036748421663030051e+00,1.039231601437850427e+00
1.500000000000000222e-01,3.230517241379310235e+03,1.919000000000000000e+03,2.977702201183429679e+03,1.027989050472252863e+00,1.029802321125998343e+00
1.500000000000000222e-01,3.230517241379310235e+03,2.578000000000000000e+03,2.952802890228367687e+03,1.023254542248195564e+00,1.024644294573733960e+00
1.500000000000000222e-01,3.240689655172413950e+03,4.180000000000000000e+02,3.489114613240418294e+03,1.089017879714366144e+00,1.110209792065117940e+00
1.500000000000000222e-01,3.240689655172413950e+03,5.302999999999999545e+02,3.410210353155252051e+03,1.074542026960603192e+00,1.090949664274951880e+00
1.500000000000000222e-01,3.240689655172413950e+03,7.320000000000000000e+02,3.210092358129301829e+03,1.057576230047296617e+00,1.065870616205402577e+00
1.500000000000000222e-01,3.240689655172413950e+03,8.640000000000000000e+02,3.148193055793502481e+03,1.050190878936568817e+00,1.056196398639392298e+00
1.500000000000000222e-01,3.240689655172413950e+03,1.128000000000000000e+03,3.030834430938433798e+03,1.040269977378575739e+00,1.043279715762276627e+00
1.500000000000000222e-01,3.240689655172413950e+03,1.325000000000000000e+03,3.003112844806144039e+03,1.035396158978720393e+00,1.037784632819336084e+00
