f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.875000000000000000e+02,6.269318568511206649e+03,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,6.220435082185948886e+03,nan,nan
0.000000000000000000e+00,nan,7.980000000000000000e+02,5.857851433702099712e+03,nan,nan
0.000000000000000000e+00,nan,1.062000000000000000e+03,5.562834587618303885e+03,nan,nan
0.000000000000000000e+00,nan,1.325000000000000000e+03,5.489730420002670144e+03,nan,nan
0.000000000000000000e+00,nan,1.655000000000000000e+03,5.478291219637942959e+03,nan,nan
0.000000000000000000e+00,nan,2.117000000000000000e+03,5.468633574407189371e+03,nan,nan
0.000000000000000000e+00,nan,2.578000000000000000e+03,5.428423395572590380e+03,nan,nan
1.500000000000000222e-01,2.800000000000000000e+03,4.875000000000000000e+02,7.077370545677475093e+03,1.106124446000394501e+00,1.128889921342465685e+00
1.500000000000000222e-01,2.800000000000000000e+03,6.660000000000000000e+02,6.859810070565131355e+03,1.085739215672715918e+00,1.102786216708574241e+00
1.500000000000000222e-01,2.800000000000000000e+03,7.980000000000000000e+02,6.347214948616564470e+03,1.074919018463716069e+00,1.083539762053199018e+00
1.500000000000000222e-01,2.800000000000000000e+03,1.062000000000000000e+03,5.913084079062879937e+03,1.059942749807794904e+00,1.062962413483254931e+00
1.500000000000000222e-01,2.800000000000000000e+03,1.325000000000000000e+03,5.775728701740812539e+03,1.050361119549577005e+00,1.052096962848314776e+00
1.500000000000000222e-01,2.800000000000000000e+03,1.655000000000000000e+03,5.718524116526846228e+03,1.042503303764997113e+00,1.043851793790688598e+00
1.500000000000000222e-01,2.800000000000000000e+03,2.117000000000000000e+03,5.669560681863416903e+03,1.035682784256582334e+00,1.036741738996108886e+00
1.500000000000000222e-01,2.800000000000000000e+03,2.578000000000000000e+03,5.602712320377123433e+03,1.031431979164382007e+00,1.032106730095276426e+00
1.500000000000000222e-01,2.810172413793103260e+03,4.875000000000000000e+02,7.057427153476792228e+03,1.103556748998178794e+00,1.125708811309095836e+00
1.500000000000000222e-01,2.810172413793103260e+03,6.660000000000000000e+02,6.841877192911183556e+03,1.083370590293264657e+00,1.099903319062828455e+00
1.500000000000000222e-01,2.810172413793103260e+03,7.980000000000000000e+02,6.332809737130129179e+03,1.072730688795547227e+00,1.081080633198623353e+00
1.500000000000000222e-01,2.810172413793103260e+03,1.062000000000000000e+03,5.902141192386745388e+03,1.058075105801118854e+00,1.060995271281958807e+00
1.500000000000000222e-01,2.810172413793103260e+03,1.325000000000000000e+03,5.766491043150967926e+03,1.048737067753123364e+00,1.050414246597588530e+00
1.500000000000000222e-01,2.810172413793103260e+03,1.655000000000000000e+03,5.710577810578154640e+03,1.041099156489614597e+00,1.042401285661400667e+00
1.500000000000000222e-01,2.810172413793103260e+03,2.117000000000000000e+03,5.662798262951795550e+03,1.034483027036722680e+00,1.035505156069202126e+00
1.500000000000000222e-01,2.810172413793103260e+03,2.578000000000000000e+03,5.596794871516319290e+03,1.030365476172558914e+00,1.031016644000365190e+00
1.500000000000000222e-01,2.820344827586206975e+03,4.875000000000000000e+02,7.036977386857490274e+03,1.100921199826627506e+00,1.122446931027239581e+00
1.500000000000000222e-01,2.820344827586206975e+03,6.660000000000000000e+02,6.823667030189772959e+03,1.080963236708230024e+00,1.096975844942318812e+00
1.500000000000000222e-01,2.820344827586206975e+03,7.980000000000000000e+02,6.318237964185957935e+03,1.070516013027666080e+00,1.078593070461826064e+00
1.500000000000000222e-01,2.820344827586206975e+03,1.062000000000000000e+03,5.891123835386702012e+03,1.056194416817940240e+00,1.059014741962506001e+00
1.500000000000000222e-01,2.820344827586206975e+03,1.325000000000000000e+03,5.757215037317630959e+03,1.047106100025007258e+00,1.048724545077903914e+00
1.500000000000000222e-01,2.820344827586206975e+03,1.655000000000000000e+03,5.702613680814483814e+03,1.039691739328810538e+00,1.040947523996609725e+00
1.500000000000000222e-01,2.820344827586206975e+03,2.117000000000000000e+03,5.656030160758218699e+03,1.033282178911801630e+00,1.034267533891469970e+00
1.500000000000000222e-01,2.820344827586206975e+03,2.578000000000000000e+03,5.590876689535728474e+03,1.029298793731810102e+00,1.029926422853389534e+00
1.500000000000000222e-01,2.830517241379310235e+03,4.875000000000000000e+02,7.016016960333493444e+03,1.098217041194249788e+00,1.119103596932004008e+00
1.500000000000000222e-01,2.830517241379310235e+03,6.660000000000000000e+02,6.805180270444077905e+03,1.078517146288966222e+00,1.094003904957182138e+00
1.500000000000000222e-01,2.830517241379310235e+03,7.980000000000000000e+02,6.303500697116714946e+03,1.068275116754176857e+00,1.076077256048292963e+00
1.500000000000000222e-01,2.830517241379310235e+03,1.062000000000000000e+03,5.880032929361788774e+03,1.054300833268768667e+00,1.057020991141728539e+00
1.500000000000000222e-01,2.830517241379310235e+03,1.325000000000000000e+03,5.747901352262662840e+03,1.045468331652994909e+00,1.047027979974992418e+00
1.500000000000000222e-01,2.830517241379310235e+03,1.655000000000000000e+03,5.694632165716861891e+03,1.038281128848425272e+00,1.039490588836059937e+00
1.500000000000000222e-01,2.830517241379310235e+03,2.117000000000000000e+03,5.649256626182208493e+03,1.032080284185494579e+00,1.033028918342659086e+00
1.500000000000000222e-01,2.830517241379310235e+03,2.578000000000000000e+03,5.584957926651035450e+03,1.028231959195960776e+00,1.028836094694845382e+00
1.500000000000000222e-01,2.840689655172413950e+03,4.875000000000000000e+02,6.994541899683958945e+03,1.095443548065945238e+00,1.115678175107470027e+00
1.500000000000000222e-01,2.840689655172413950e+03,6.660000000000000000e+02,6.786417734550132081e+03,1.076032326608594936e+00,1.090987631071826724e+00
1.500000000000000222e-01,2.840689655172413950e+03,7.980000000000000000e+02,6.288599059839916663e+03,1.066008134026399157e+00,1.073533381823169375e+00
1.500000000000000222e-01,2.840689655172413950e+03,1.062000000000000000e+03,5.868869406078336397e+03,1.052394507416591907e+00,1.055014186318105063e+00
1.500000000000000222e-01,2.840689655172413950e+03,1.325000000000000000e+03,5.738550655845387155e+03,1.043823877921380427e+00,1.045324672944977884e+00
1.500000000000000222e-01,2.840689655172413950e+03,1.655000000000000000e+03,5.686633699995669303e+03,1.036867401097773866e+00,1.038030559531206487e+00
1.500000000000000222e-01,2.840689655172413950e+03,2.117000000000000000e+03,5.642477907269571915e+03,1.030877386662079509e+00,1.031789354780682677e+00
1.500000000000000222e-01,2.840689655172413950e+03,2.578000000000000000e+03,5.579038732560159588e+03,1.027164999541956281e+00,1.027745687101417005e+00
1.500000000000000222e-01,2.850862068965517210e+03,4.875000000000000000e+02,6.972548554555979536e+03,1.092600029318442578e+00,1.112170083296911027e+00
1.500000000000000222e-01,2.850862068965517210e+03,6.660000000000000000e+02,6.767380376532239097e+03,1.073508801553214820e+00,1.087927176655637762e+00
1.500000000000000222e-01,2.850862068965517210e+03,7.980000000000000000e+02,6.273534232215771226e+03,1.063715207281071162e+00,1.070961649201636501e+00
1.500000000000000222e-01,2.850862068965517210e+03,1.062000000000000000e+03,5.857634207699580656e+03,1.050475593308247468e+00,1.052994496859108287e+00
1.500000000000000222e-01,2.850862068965517210e+03,1.325000000000000000e+03,5.729163615440291323e+03,1.042172854081368172e+00,1.043614745555667023e+00
1.500000000000000222e-01,2.850862068965517210e+03,1.655000000000000000e+03,5.678618715232452814e+03,1.035450631603105132e+00,1.036567514862371420e+00
1.500000000000000222e-01,2.850862068965517210e+03,2.117000000000000000e+03,5.635694249023437806e+03,1.029673529649077990e+00,1.030548888007066344e+00
1.500000000000000222e-01,2.850862068965517210e+03,2.578000000000000000e+03,5.573119254725144856e+03,1.026097941373881994e+00,1.026655227237906365e+00
1.500000000000000222e-01,2.861034482758620470e+03,4.875000000000000000e+02,6.950033610986228268e+03,1.089685829382992965e+00,1.108578792900082766e+00
1.500000000000000222e-01,2.861034482758620470e+03,6.660000000000000000e+02,6.748069283642798837e+03,1.070946611417929129e+00,1.084822716495810191e+00
1.500000000000000222e-01,2.861034482758620470e+03,7.980000000000000000e+02,6.258307449134359558e+03,1.061396487262671329e+00,1.068362268993082953e+00
1.500000000000000222e-01,2.861034482758620470e+03,1.062000000000000000e+03,5.846328285392443831e+03,1.048544246705854555e+00,1.050962093750753779e+00
1.500000000000000222e-01,2.861034482758620470e+03,1.325000000000000000e+03,5.719740897961344672e+03,1.040515375322045744e+00,1.041898319290979424e+00
1.500000000000000222e-01,2.861034482758620470e+03,1.655000000000000000e+03,5.670587640054791336e+03,1.034030895361378599e+00,1.035101533070663882e+00
1.500000000000000222e-01,2.861034482758620470e+03,2.117000000000000000e+03,5.628905893797275894e+03,1.028468755959956571e+00,1.029307562338817039e+00
1.500000000000000222e-01,2.861034482758620470e+03,2.578000000000000000e+03,5.567199638783493356e+03,1.025030810926963243e+00,1.025564741933005619e+00
1.500000000000000222e-01,2.871206896551724185e+03,4.875000000000000000e+02,6.926994102789518365e+03,1.086700329871112425e+00,1.104903830789777830e+00
1.500000000000000222e-01,2.871206896551724185e+03,6.660000000000000000e+02,6.728485676272266574e+03,1.068345812987469223e+00,1.081674446782873833e+00
1.500000000000000222e-01,2.871206896551724185e+03,7.980000000000000000e+02,6.242920000161578173e+03,1.059052132939959590e+00,1.065735461340664214e+00
1.500000000000000222e-01,2.871206896551724185e+03,1.062000000000000000e+03,5.834952599932607882e+03,1.046600625018351938e+00,1.048917149706371177e+00
1.500000000000000222e-01,2.871206896551724185e+03,1.325000000000000000e+03,5.710283169128471854e+03,1.038851556741945181e+00,1.040175515417329777e+00
1.500000000000000222e-01,2.871206896551724185e+03,1.655000000000000000e+03,5.662540899953216467e+03,1.032608266834357913e+00,1.033632691824559524e+00
1.500000000000000222e-01,2.871206896551724185e+03,2.117000000000000000e+03,5.622113081055313160e+03,1.027263107916893681e+00,1.028065421564611004e+00
1.500000000000000222e-01,2.871206896551724185e+03,2.578000000000000000e+03,5.561280028565262910e+03,1.023963634071542339e+00,1.024474257682447931e+00
1.500000000000000222e-01,2.881379310344827445e+03,4.875000000000000000e+02,6.903427423884500968e+03,1.083642951179059732e+00,1.101144781277860307e+00
1.500000000000000222e-01,2.881379310344827445e+03,6.660000000000000000e+02,6.708630907593993470e+03,1.065706479601200796e+00,1.078482585053598175e+00
1.500000000000000222e-01,2.881379310344827445e+03,7.980000000000000000e+02,6.227373228365196155e+03,1.056682311416838216e+00,1.063081455520896057e+00
1.500000000000000222e-01,2.881379310344827445e+03,1.062000000000000000e+03,5.823508120828546453e+03,1.044644887233181496e+00,1.046859839009135262e+00
1.500000000000000222e-01,2.881379310344827445e+03,1.325000000000000000e+03,5.700791094227719441e+03,1.037181513321194570e+00,1.038446455122097989e+00
1.500000000000000222e-01,2.881379310344827445e+03,1.655000000000000000e+03,5.654478917063165682e+03,1.031182819943008866e+00,1.032161068180100560e+00
1.500000000000000222e-01,2.881379310344827445e+03,2.117000000000000000e+03,5.615316047537843588e+03,1.026056627353601591e+00,1.026822508975024029e+00
1.500000000000000222e-01,2.881379310344827445e+03,2.578000000000000000e+03,5.555360565200895508e+03,1.022896436317033420e+00,1.023383800484655382e+00
1.500000000000000222e-01,2.891551724137931160e+03,4.875000000000000000e+02,6.879331338785710614e+03,1.080513154066664372e+00,1.097301287788820412e+00
1.500000000000000222e-01,2.891551724137931160e+03,6.660000000000000000e+02,6.688506463414123573e+03,1.063028701202332726e+00,1.075247370166861005e+00
1.500000000000000222e-01,2.891551724137931160e+03,7.980000000000000000e+02,6.211668529726765883e+03,1.054287197837641576e+00,1.060400489843262850e+00
1.500000000000000222e-01,2.891551724137931160e+03,1.062000000000000000e+03,5.811995825890537162e+03,1.042677193848158046e+00,1.044790337434590155e+00
1.500000000000000222e-01,2.891551724137931160e+03,1.325000000000000000e+03,5.691265337388284934e+03,1.035505359894255628e+00,1.036711259381934536e+00
1.500000000000000222e-01,2.891551724137931160e+03,1.655000000000000000e+03,5.646402110322190310e+03,1.029754628062198973e+00,1.030686738609591035e+00
1.500000000000000222e-01,2.891551724137931160e+03,2.117000000000000000e+03,5.608515027080929030e+03,1.024849355618205005e+00,1.025578867329560051e+00
1.500000000000000222e-01,2.891551724137931160e+03,2.578000000000000000e+03,5.549441388412179549e+03,1.021829242815852634e+00,1.022293396078554073e+00
1.500000000000000222e-01,2.901724137931034420e+03,4.875000000000000000e+02,6.854703994172095918e+03,1.077310441206038139e+00,1.093373054705035097e+00
1.500000000000000222e-01,2.901724137931034420e+03,6.660000000000000000e+02,6.668113961447730617e+03,1.060312584371170042e+00,1.071969062187280386e+00
1.500000000000000222e-01,2.901724137931034420e+03,7.980000000000000000e+02,6.195807352248893949e+03,1.051866975286971817e+00,1.057692811497817242e+00
1.500000000000000222e-01,2.901724137931034420e+03,1.062000000000000000e+03,5.800416700986965225e+03,1.040697706803569433e+00,1.042708822206841912e+00
1.500000000000000222e-01,2.901724137931034420e+03,1.325000000000000000e+03,5.681706561260879425e+03,1.033823211123253483e+00,1.034970048904171103e+00
1.500000000000000222e-01,2.901724137931034420e+03,1.655000000000000000e+03,5.638310895544340383e+03,1.028323764015691033e+00,1.029209779015174853e+00
1.500000000000000222e-01,2.901724137931034420e+03,2.117000000000000000e+03,5.601710250563107365e+03,1.023641333576171153e+00,1.024334538846908060e+00
1.500000000000000222e-01,2.901724137931034420e+03,2.578000000000000000e+03,5.543522635230168817e+03,1.020762078367325465e+00,1.021203069707394828e+00
1.500000000000000222e-01,2.911896551724138135e+03,4.875000000000000000e+02,6.829543928199122092e+03,1.074034358695650226e+00,1.089359848852114343e+00
1.500000000000000222e-01,2.911896551724138135e+03,6.660000000000000000e+02,6.647455150808112194e+03,1.057558252342280403e+00,1.068647942303113441e+00
1.500000000000000222e-01,2.911896551724138135e+03,7.980000000000000000e+02,6.179791195008888280e+03,1.049421834684201693e+00,1.054958676393628947e+00
1.500000000000000222e-01,2.911896551724138135e+03,1.062000000000000000e+03,5.788771739375863945e+03,1.038706589414538639e+00,1.040615471878392428e+00
1.500000000000000222e-01,2.911896551724138135e+03,1.325000000000000000e+03,5.672115427408974938e+03,1.032135181471892427e+00,1.033222944198089799e+00
1.500000000000000222e-01,2.911896551724138135e+03,1.655000000000000000e+03,5.630205685351219472e+03,1.026890300071424234e+00,1.027730264716251618e+00
1.500000000000000222e-01,2.911896551724138135e+03,2.117000000000000000e+03,5.594901946503472573e+03,1.022432601613290748e+00,1.023089565314306393e+00
1.500000000000000222e-01,2.911896551724138135e+03,2.578000000000000000e+03,5.537604442132804252e+03,1.019694967421569620e+00,1.020112846512536420e+00
1.500000000000000222e-01,2.922068965517241395e+03,4.875000000000000000e+02,6.803850081164019684e+03,1.070684497535216329e+00,1.085261501200081691e+00
1.500000000000000222e-01,2.922068965517241395e+03,6.660000000000000000e+02,6.626531911076427605e+03,1.054765845005474656e+00,1.065284312676689993e+00
1.500000000000000222e-01,2.922068965517241395e+03,7.980000000000000000e+02,6.163621607239156219e+03,1.046951974672773122e+00,1.052198349001796540e+00
1.500000000000000222e-01,2.922068965517241395e+03,1.062000000000000000e+03,5.777061941551253767e+03,1.036704006303693637e+00,1.038510466302516866e+00
1.500000000000000222e-01,2.922068965517241395e+03,1.325000000000000000e+03,5.662492595686740970e+03,1.030441385179957203e+00,1.031470065461609131e+00
1.500000000000000222e-01,2.922068965517241395e+03,1.655000000000000000e+03,5.622086888591892603e+03,1.025454307937075704e+00,1.026248270343585789e+00
1.500000000000000222e-01,2.922068965517241395e+03,2.117000000000000000e+03,5.588090340356233355e+03,1.021223199638702672e+00,1.021843987958544808e+00
1.500000000000000222e-01,2.922068965517241395e+03,2.578000000000000000e+03,5.531686942120139975e+03,1.018627934083351061e+00,1.019022750994657223e+00
1.500000000000000222e-01,2.932241379310344655e+03,4.875000000000000000e+02,6.777621803832567821e+03,1.067260495056808978e+00,1.081077908191554693e+00
1.500000000000000222e-01,2.932241379310344655e+03,6.660000000000000000e+02,6.605346251470578864e+03,1.051935518890515731e+00,1.061878496310802555e+00
1.500000000000000222e-01,2.932241379310344655e+03,7.980000000000000000e+02,6.147300187362870020e+03,1.044457601504423350e+00,1.049412102190826923e+00
1.500000000000000222e-01,2.932241379310344655e+03,1.062000000000000000e+03,5.765288314921845995e+03,1.034690123334176315e+00,1.036393986575506299e+00
1.500000000000000222e-01,2.932241379310344655e+03,1.325000000000000000e+03,5.652838724317100059e+03,1.028741936238401156e+00,1.029711532595502410e+00
1.500000000000000222e-01,2.932241379310344655e+03,1.655000000000000000e+03,5.613954911306673239e+03,1.024015858755897401e+00,1.024763870015237277e+00
1.500000000000000222e-01,2.932241379310344655e+03,2.117000000000000000e+03,5.581275654790496446e+03,1.020013167087965744e+00,1.020597847497126898e+00
1.500000000000000222e-01,2.932241379310344655e+03,2.578000000000000000e+03,5.525770266801344405e+03,1.017561002115916491e+00,1.017932807398212569e+00
1.500000000000000222e-01,2.942413793103448370e+03,4.875000000000000000e+02,6.750858866698794372e+03,1.063762036307618564e+00,1.076809033218731448e+00
1.500000000000000222e-01,2.942413793103448370e+03,6.660000000000000000e+02,6.583900309600765468e+03,1.049067447135515918e+00,1.058430836848648582e+00
1.500000000000000222e-01,2.942413793103448370e+03,7.980000000000000000e+02,6.130828582147085399e+03,1.041938928918481500e+00,1.046600217082061857e+00
1.500000000000000222e-01,2.942413793103448370e+03,1.062000000000000000e+03,5.753451872757997080e+03,1.032665107543029093e+00,1.034266214847367138e+00
1.500000000000000222e-01,2.942413793103448370e+03,1.325000000000000000e+03,5.643154469793576936e+03,1.027036948365015467e+00,1.027947465185518494e+00
1.500000000000000222e-01,2.942413793103448370e+03,1.655000000000000000e+03,5.605810155870693961e+03,1.022575023102821667e+00,1.023277137180228058e+00
1.500000000000000222e-01,2.942413793103448370e+03,2.117000000000000000e+03,5.574458110223057702e+03,1.018802542926170007e+00,1.019351184235696373e+00
1.500000000000000222e-01,2.942413793103448370e+03,2.578000000000000000e+03,5.519854546245040183e+03,1.016494194944797202e+00,1.016843039683864802e+00
1.500000000000000222e-01,2.952586206896551630e+03,4.875000000000000000e+02,6.723561467333883229e+03,1.060188855379781137e+00,1.072454907795592716e+00
1.500000000000000222e-01,2.952586206896551630e+03,6.660000000000000000e+02,6.562196350370030814e+03,1.046161819438996776e+00,1.054941698397080962e+00
1.500000000000000222e-01,2.952586206896551630e+03,7.980000000000000000e+02,6.114208485222150557e+03,1.039396178016375183e+00,1.043762982796925476e+00
1.500000000000000222e-01,2.952586206896551630e+03,1.062000000000000000e+03,5.741553634385665646e+03,1.030629127074993878e+00,1.032127334356687909e+00
1.500000000000000222e-01,2.952586206896551630e+03,1.325000000000000000e+03,5.633440486321639582e+03,1.025326534980681714e+00,1.026177982400618305e+00
1.500000000000000222e-01,2.952586206896551630e+03,1.655000000000000000e+03,5.597653021555793202e+03,1.021131870980828582e+00,1.021788144721108571e+00
1.500000000000000222e-01,2.952586206896551630e+03,2.117000000000000000e+03,5.567637923787005093e+03,1.017591365651087099e+00,1.018104037879434598e+00
1.500000000000000222e-01,2.952586206896551630e+03,2.578000000000000000e+03,5.513939908470489172e+03,1.015427535661589609e+00,1.015753471434753141e+00
1.500000000000000222e-01,2.962758620689655345e+03,4.875000000000000000e+02,6.695730238263974570e+03,1.056540736682741066e+00,1.068015632814465432e+00
1.500000000000000222e-01,2.962758620689655345e+03,6.660000000000000000e+02,6.540236764554063484e+03,1.043218841995617652e+00,1.051411465298297321e+00
1.500000000000000222e-01,2.962758620689655345e+03,7.980000000000000000e+02,6.097441636861211919e+03,1.036829577131499924e+00,1.040900696419283067e+00
1.500000000000000222e-01,2.962758620689655345e+03,1.062000000000000000e+03,5.729594625052070114e+03,1.028582351116757332e+00,1.029977529406489900e+00
1.500000000000000222e-01,2.962758620689655345e+03,1.325000000000000000e+03,5.623697426891616487e+03,1.023610809186199733e+00,1.024403203188414713e+00
1.500000000000000222e-01,2.962758620689655345e+03,1.655000000000000000e+03,5.589483903819858824e+03,1.019686471817570217e+00,1.020296964824236596e+00
1.500000000000000222e-01,2.962758620689655345e+03,2.117000000000000000e+03,5.560815310569067151e+03,1.016379673296356367e+00,1.016856447759323601e+00
1.500000000000000222e-01,2.962758620689655345e+03,2.578000000000000000e+03,5.508026479581817512e+03,1.014361047027705798e+00,1.014664125881218348e+00
1.500000000000000222e-01,2.972931034482758605e+03,4.875000000000000000e+02,6.667366253150564262e+03,1.052817516153659705e+00,1.063491379531840142e+00
1.500000000000000222e-01,2.972931034482758605e+03,6.660000000000000000e+02,6.518024067303506854e+03,1.040238737415609904e+00,1.047840541889070165e+00
1.500000000000000222e-01,2.972931034482758605e+03,7.980000000000000000e+02,6.080529821857916431e+03,1.034239361694606174e+00,1.038013662633141543e+00
1.500000000000000222e-01,2.972931034482758605e+03,1.062000000000000000e+03,5.717575874358726651e+03,1.026524949831674416e+00,1.027816985082541157e+00
1.500000000000000222e-01,2.972931034482758605e+03,1.325000000000000000e+03,5.613925941163722200e+03,1.021889883739693916e+00,1.022623245889912269e+00
1.500000000000000222e-01,2.972931034482758605e+03,1.655000000000000000e+03,5.581303195117626274e+03,1.018238894462244026e+00,1.018803669127777978e+00
1.500000000000000222e-01,2.972931034482758605e+03,2.117000000000000000e+03,5.553990482158655141e+03,1.015167503434707186e+00,1.015608452566822084e+00
1.500000000000000222e-01,2.972931034482758605e+03,2.578000000000000000e+03,5.502114383130418901e+03,1.013294751478097666e+00,1.013575025783348238e+00
1.500000000000000222e-01,2.983103448275861865e+03,4.875000000000000000e+02,6.638471031931380821e+03,1.049019082401457803e+00,1.058882390388376393e+00
1.500000000000000222e-01,2.983103448275861865e+03,6.660000000000000000e+02,6.495560896296992723e+03,1.037221744627978337e+00,1.044229352203827066e+00
1.500000000000000222e-01,2.983103448275861865e+03,7.980000000000000000e+02,6.063474869339779616e+03,1.031625774094856451e+00,1.035102193690789374e+00
1.500000000000000222e-01,2.983103448275861865e+03,1.062000000000000000e+03,5.705498417465149032e+03,1.024457094295003090e+00,1.025645887469741613e+00
1.500000000000000222e-01,2.983103448275861865e+03,1.325000000000000000e+03,5.604126677338672380e+03,1.020163871034589276e+00,1.020838228580256413e+00
