f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,5.020000000000000000e+02,5.751916244515653489e+03,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,5.806628365661925272e+03,nan,nan
0.000000000000000000e+00,nan,6.470000000000000000e+02,5.737826127208300932e+03,nan,nan
0.000000000000000000e+00,nan,7.085000000000000000e+02,5.650378407536682971e+03,nan,nan
0.000000000000000000e+00,nan,8.780000000000000000e+02,5.362487806732873651e+03,nan,nan
0.000000000000000000e+00,nan,9.907000000000000455e+02,5.196339781803560982e+03,nan,nan
0.000000000000000000e+00,nan,1.387000000000000000e+03,5.056500689622156642e+03,nan,nan
0.000000000000000000e+00,nan,1.726000000000000000e+03,4.966351819828740190e+03,nan,nan
0.000000000000000000e+00,nan,2.404000000000000000e+03,4.951834311062053530e+03,nan,nan
0.000000000000000000e+00,nan,3.816000000000000000e+03,4.902497517296211299e+03,nan,nan
0.000000000000000000e+00,nan,4.945000000000000000e+03,4.906837026995902306e+03,nan,nan
1.000000000000000194e-02,1.883000000000000000e+03,5.020000000000000000e+02,5.817372406206056439e+03,1.010092032746706892e+00,1.011379887833522284e+00
1.000000000000000194e-02,1.883000000000000000e+03,5.580000000000000000e+02,5.873258124803215651e+03,1.010082828490375340e+00,1.011474775884627419e+00
1.000000000000000194e-02,1.883000000000000000e+03,6.470000000000000000e+02,5.802780476169444228e+03,1.010057632542149308e+00,1.011320375961400231e+00
1.000000000000000194e-02,1.883000000000000000e+03,7.085000000000000000e+02,5.713231084093717072e+03,1.010031429676275128e+00,1.011123622529988220e+00
1.000000000000000194e-02,1.883000000000000000e+03,8.780000000000000000e+02,5.418718400592492799e+03,1.009919991835600772e+00,1.010485915471736718e+00
1.000000000000000194e-02,1.883000000000000000e+03,9.907000000000000455e+02,5.248706099763578095e+03,1.009816779097993278e+00,1.010077539221625242e+00
1.000000000000000194e-02,1.883000000000000000e+03,1.387000000000000000e+03,5.103753602045179832e+03,1.009340146020723639e+00,1.009344982889056830e+00
1.000000000000000194e-02,1.883000000000000000e+03,1.726000000000000000e+03,5.009794236648823244e+03,1.008891246882755999e+00,1.008747349844735908e+00
1.000000000000000194e-02,1.883000000000000000e+03,2.404000000000000000e+03,4.991179565742354498e+03,1.008097869476201724e+00,1.007945591917808414e+00
1.000000000000000194e-02,1.883000000000000000e+03,3.816000000000000000e+03,4.936077750697376359e+03,1.007027059151615500e+00,1.006849617625035442e+00
1.000000000000000194e-02,1.883000000000000000e+03,4.945000000000000000e+03,4.938092987535669636e+03,1.006528995594373255e+00,1.006369879490149444e+00
1.000000000000000194e-02,2.274750000000000000e+03,5.020000000000000000e+02,5.816627952395791908e+03,1.009977397333790883e+00,1.011250460738512880e+00
1.000000000000000194e-02,2.274750000000000000e+03,5.580000000000000000e+02,5.872105243444391817e+03,1.009908603267705818e+00,1.011276230138933974e+00
1.000000000000000194e-02,2.274750000000000000e+03,6.470000000000000000e+02,5.800915547470864112e+03,1.009769214296398543e+00,1.010995352397208169e+00
1.000000000000000194e-02,2.274750000000000000e+03,7.085000000000000000e+02,5.710869895878434363e+03,1.009654970473071289e+00,1.010705741098873345e+00
1.000000000000000194e-02,2.274750000000000000e+03,8.780000000000000000e+02,5.415146724026209995e+03,1.009290220452670805e+00,1.009819867045146591e+00
1.000000000000000194e-02,2.274750000000000000e+03,9.907000000000000455e+02,5.244492288023927358e+03,1.009027030252976465e+00,1.009266620013761662e+00
1.000000000000000194e-02,2.274750000000000000e+03,1.387000000000000000e+03,5.097605532177640271e+03,1.008124905986787612e+00,1.008129108464248080e+00
1.000000000000000194e-02,2.274750000000000000e+03,1.726000000000000000e+03,5.002872493418575687e+03,1.007474421747087012e+00,1.007353621917002062e+00
1.000000000000000194e-02,2.274750000000000000e+03,2.404000000000000000e+03,4.983560890957083757e+03,1.006529635894871433e+00,1.006407035838043917e+00
1.000000000000000194e-02,2.274750000000000000e+03,3.816000000000000000e+03,4.928637225854348799e+03,1.005469828146513978e+00,1.005331916735483500e+00
1.000000000000000194e-02,2.274750000000000000e+03,4.945000000000000000e+03,4.930904231961297228e+03,1.005027167887394768e+00,1.004904830715384279e+00
1.000000000000000194e-02,2.666500000000000000e+03,5.020000000000000000e+02,5.812318961636031418e+03,1.009313808151405700e+00,1.010501320699509709e+00
1.000000000000000194e-02,2.666500000000000000e+03,5.580000000000000000e+02,5.866647191458129782e+03,1.009083661334995830e+00,1.010336260910226658e+00
1.000000000000000194e-02,2.666500000000000000e+03,6.470000000000000000e+02,5.794042677360056587e+03,1.008706120496694947e+00,1.009797534624686799e+00
1.000000000000000194e-02,2.666500000000000000e+03,7.085000000000000000e+02,5.703286345639769024e+03,1.008445670313587783e+00,1.009363609706655396e+00
1.000000000000000194e-02,2.666500000000000000e+03,8.780000000000000000e+02,5.406490186139145408e+03,1.007763681361794061e+00,1.008205590575147692e+00
1.000000000000000194e-02,2.666500000000000000e+03,9.907000000000000455e+02,5.235562667542326380e+03,1.007353340285809917e+00,1.007548175713242511e+00
1.000000000000000194e-02,2.666500000000000000e+03,1.387000000000000000e+03,5.087898813021407477e+03,1.006206252986352023e+00,1.006209456959769044e+00
1.000000000000000194e-02,2.666500000000000000e+03,1.726000000000000000e+03,4.993337944853015870e+03,1.005522881843941896e+00,1.005433792450331598e+00
1.000000000000000194e-02,2.666500000000000000e+03,2.404000000000000000e+03,4.974447837765016629e+03,1.004653918877750796e+00,1.004566696961658456e+00
1.000000000000000194e-02,2.666500000000000000e+03,3.816000000000000000e+03,4.920622825276610456e+03,1.003792626452322256e+00,1.003697158013125312e+00
1.000000000000000194e-02,2.666500000000000000e+03,4.945000000000000000e+03,4.923391860825354343e+03,1.003457849256080170e+00,1.003373829972010967e+00
1.000000000000000194e-02,3.058250000000000000e+03,5.020000000000000000e+02,5.797213949271351339e+03,1.006986741217762660e+00,1.007875237195758666e+00
1.000000000000000194e-02,3.058250000000000000e+03,5.580000000000000000e+02,5.850196539514462529e+03,1.006596148145481706e+00,1.007503179316620701e+00
1.000000000000000194e-02,3.058250000000000000e+03,6.470000000000000000e+02,5.776866835381589226e+03,1.006048136832766060e+00,1.006804093973527880e+00
1.000000000000000194e-02,3.058250000000000000e+03,7.085000000000000000e+02,5.686177533652858983e+03,1.005716279409665903e+00,1.006335704183710211e+00
1.000000000000000194e-02,3.058250000000000000e+03,8.780000000000000000e+02,5.390620213139407497e+03,1.004964403622280233e+00,1.005246148321533139e+00
1.000000000000000194e-02,3.058250000000000000e+03,9.907000000000000455e+02,5.220714840471041498e+03,1.004570067170784897e+00,1.004690813089790025e+00
1.000000000000000194e-02,3.058250000000000000e+03,1.387000000000000000e+03,5.074804884529049559e+03,1.003618070214672198e+00,1.003619933236528539e+00
1.000000000000000194e-02,3.058250000000000000e+03,1.726000000000000000e+03,4.981624929959682959e+03,1.003125618758665683e+00,1.003075317795642851e+00
1.000000000000000194e-02,3.058250000000000000e+03,2.404000000000000000e+03,4.964253881287517288e+03,1.002555877772688175e+00,1.002508074674009153e+00
1.000000000000000194e-02,3.058250000000000000e+03,3.816000000000000000e+03,4.912239366907211661e+03,1.002038341699282409e+00,1.001987119743891874e+00
1.000000000000000194e-02,3.058250000000000000e+03,4.945000000000000000e+03,4.915680783389219869e+03,1.001847145315110765e+00,1.001802333426739411e+00
1.000000000000000194e-02,3.450000000000000000e+03,5.020000000000000000e+02,5.759179448649342703e+03,1.001121110179205909e+00,1.001262745113963515e+00
1.000000000000000194e-02,3.450000000000000000e+03,5.580000000000000000e+02,5.813325632517241502e+03,1.001014728029250067e+00,1.001153383070788827e+00
1.000000000000000194e-02,3.450000000000000000e+03,6.470000000000000000e+02,5.743517531052289087e+03,1.000882270921196415e+00,1.000991909430123616e+00
1.000000000000000194e-02,3.450000000000000000e+03,7.085000000000000000e+02,5.655447055143425132e+03,1.000809771809008542e+00,1.000897045691662157e+00
1.000000000000000194e-02,3.450000000000000000e+03,8.780000000000000000e+02,5.366241178317743106e+03,1.000662502097598328e+00,1.000699931024580991e+00
1.000000000000000194e-02,3.450000000000000000e+03,9.907000000000000455e+02,5.199502543615009017e+03,1.000593046604689507e+00,1.000608651848080344e+00
1.000000000000000194e-02,3.450000000000000000e+03,1.387000000000000000e+03,5.058740288106489061e+03,1.000442687472744341e+00,1.000442914699671393e+00
1.000000000000000194e-02,3.450000000000000000e+03,1.726000000000000000e+03,4.968173603856817863e+03,1.000372808863076779e+00,1.000366825407093430e+00
1.000000000000000194e-02,3.450000000000000000e+03,2.404000000000000000e+03,4.953279488254635908e+03,1.000297396811247852e+00,1.000291846839332699e+00
1.000000000000000194e-02,3.450000000000000000e+03,3.816000000000000000e+03,4.903611825539000165e+03,1.000233142393275543e+00,1.000227293994307542e+00
1.000000000000000194e-02,3.450000000000000000e+03,4.945000000000000000e+03,4.907843829254355114e+03,1.000210276751946292e+00,1.000205183553664723e+00
3.250000000000000805e-02,1.883000000000000000e+03,5.020000000000000000e+02,5.969390931398365865e+03,1.033561182674579859e+00,1.037809084422964379e+00
3.250000000000000805e-02,1.883000000000000000e+03,5.580000000000000000e+02,6.028031387457888741e+03,1.033529863280435057e+00,1.038129359733998447e+00
3.250000000000000805e-02,1.883000000000000000e+03,6.470000000000000000e+02,5.953630034467249970e+03,1.033444135622236359e+00,1.037610743594272522e+00
3.250000000000000805e-02,1.883000000000000000e+03,7.085000000000000000e+02,5.859136461181191407e+03,1.033354992537375061e+00,1.036945853638060688e+00
3.250000000000000805e-02,1.883000000000000000e+03,8.780000000000000000e+02,5.549170067429720802e+03,1.032975997115556099e+00,1.034812621944325661e+00
3.250000000000000805e-02,1.883000000000000000e+03,9.907000000000000455e+02,5.370122179163771762e+03,1.032625148284409766e+00,1.033443232093628428e+00
3.250000000000000805e-02,1.883000000000000000e+03,1.387000000000000000e+03,5.213114408056496359e+03,1.031007098938829136e+00,1.030972747369691911e+00
3.250000000000000805e-02,1.883000000000000000e+03,1.726000000000000000e+03,5.110188376956648426e+03,1.029486437560044987e+00,1.028962216602058666e+00
3.250000000000000805e-02,1.883000000000000000e+03,2.404000000000000000e+03,5.081885802057595356e+03,1.026806495679694953e+00,1.026263296149674487e+00
3.250000000000000805e-02,1.883000000000000000e+03,3.816000000000000000e+03,5.013279860505815122e+03,1.023204831114653768e+00,1.022597123775944583e+00
3.250000000000000805e-02,1.883000000000000000e+03,4.945000000000000000e+03,5.009838682998201875e+03,1.021535598798487321e+00,1.020991456499495742e+00
3.250000000000000805e-02,2.274750000000000000e+03,5.020000000000000000e+02,5.966853641811265334e+03,1.033171206526829478e+00,1.037367963676548710e+00
3.250000000000000805e-02,2.274750000000000000e+03,5.580000000000000000e+02,6.024101334909049001e+03,1.032937276021888451e+00,1.037452537953551746e+00
3.250000000000000805e-02,2.274750000000000000e+03,6.470000000000000000e+02,5.947277676307427100e+03,1.032463518365686728e+00,1.036503641702547274e+00
3.250000000000000805e-02,2.274750000000000000e+03,7.085000000000000000e+02,5.851101469461106717e+03,1.032075450984862863e+00,1.035523826449692653e+00
3.250000000000000805e-02,2.274750000000000000e+03,8.780000000000000000e+02,5.537045385339056338e+03,1.030837819284912360e+00,1.032551603825936359e+00
