f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.180000000000000000e+02,5.797805496623786894e+03,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,5.855206182656669625e+03,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,5.680671916860058445e+03,nan,nan
0.000000000000000000e+00,nan,7.980000000000000000e+02,5.343364594193378252e+03,nan,nan
0.000000000000000000e+00,nan,9.296999999999999318e+02,5.201668143325677192e+03,nan,nan
0.000000000000000000e+00,nan,1.128000000000000000e+03,5.100471951697160875e+03,nan,nan
0.000000000000000000e+00,nan,1.325000000000000000e+03,5.068542559249045553e+03,nan,nan
0.000000000000000000e+00,nan,1.655000000000000000e+03,5.021165385051152043e+03,nan,nan
0.000000000000000000e+00,nan,2.117000000000000000e+03,5.021063444232698203e+03,nan,nan
0.000000000000000000e+00,nan,2.578000000000000000e+03,5.042262418984977558e+03,nan,nan
1.000000000000000194e-02,1.924800000000000182e+03,4.180000000000000000e+02,5.864307290318060041e+03,1.010098538300738369e+00,1.011470166381573055e+00
1.000000000000000194e-02,1.924800000000000182e+03,5.580000000000000000e+02,5.922898453113001779e+03,1.010081063800395196e+00,1.011561039585051613e+00
1.000000000000000194e-02,1.924800000000000182e+03,6.660000000000000000e+02,5.744281489832858824e+03,1.010046266360667966e+00,1.011197543865191228e+00
1.000000000000000194e-02,1.924800000000000182e+03,7.980000000000000000e+02,5.399495582531832042e+03,1.009971627451371701e+00,1.010504802236301014e+00
1.000000000000000194e-02,1.924800000000000182e+03,9.296999999999999318e+02,5.254373334645511932e+03,1.009862668322401014e+00,1.010132363285701329e+00
1.000000000000000194e-02,1.924800000000000182e+03,1.128000000000000000e+03,5.150104477880113336e+03,1.009647560498935448e+00,1.009730967379682820e+00
1.000000000000000194e-02,1.924800000000000182e+03,1.325000000000000000e+03,5.116303387557863061e+03,1.009397060872365026e+00,1.009422990485038696e+00
1.000000000000000194e-02,1.924800000000000182e+03,1.655000000000000000e+03,5.065864913316952880e+03,1.008955025813212725e+00,1.008902221862454152e+00
1.000000000000000194e-02,1.924800000000000182e+03,2.117000000000000000e+03,5.062880579567386121e+03,1.008380195330271567e+00,1.008328342352001084e+00
1.000000000000000194e-02,1.924800000000000182e+03,2.578000000000000000e+03,5.081977133585602132e+03,1.007900132881573318e+00,1.007876368046829896e+00
1.000000000000000194e-02,2.331100000000000364e+03,4.180000000000000000e+02,5.863955084616678505e+03,1.010045126734094412e+00,1.011409418275830863e+00
1.000000000000000194e-02,2.331100000000000364e+03,5.580000000000000000e+02,5.921645982619461392e+03,1.009894807626364521e+00,1.011347132430551854e+00
1.000000000000000194e-02,2.331100000000000364e+03,6.660000000000000000e+02,5.742172573843351529e+03,1.009713558438463554e+00,1.010826299755273938e+00
1.000000000000000194e-02,2.331100000000000364e+03,7.980000000000000000e+02,5.396493091563425878e+03,1.009438503596693737e+00,1.009942892054901620e+00
1.000000000000000194e-02,2.331100000000000364e+03,9.296999999999999318e+02,5.250469118971756870e+03,1.009132257065759486e+00,1.009381793359635404e+00
1.000000000000000194e-02,2.331100000000000364e+03,1.128000000000000000e+03,5.145014242708633901e+03,1.008658194953428566e+00,1.008732974405760929e+00
1.000000000000000194e-02,2.331100000000000364e+03,1.325000000000000000e+03,5.110266292435272590e+03,1.008209274158162305e+00,1.008231899544789201e+00
1.000000000000000194e-02,2.331100000000000364e+03,1.655000000000000000e+03,5.058861143016235474e+03,1.007551840712019864e+00,1.007507372307892890e+00
1.000000000000000194e-02,2.331100000000000364e+03,2.117000000000000000e+03,5.055180597956954443e+03,1.006837046648655809e+00,1.006794806339968540e+00
1.000000000000000194e-02,2.331100000000000364e+03,2.578000000000000000e+03,5.073997016839193748e+03,1.006312681704249146e+00,1.006293721987719270e+00
1.000000000000000194e-02,2.737400000000000091e+03,4.180000000000000000e+02,5.861023718932378870e+03,1.009600558916932789e+00,1.010903819099382650e+00
1.000000000000000194e-02,2.737400000000000091e+03,5.580000000000000000e+02,5.915872715462899578e+03,1.009036128745001593e+00,1.010361126647585150e+00
1.000000000000000194e-02,2.737400000000000091e+03,6.660000000000000000e+02,5.734913161323685017e+03,1.008568103077499334e+00,1.009548385341994425e+00
1.000000000000000194e-02,2.737400000000000091e+03,7.980000000000000000e+02,5.388464049428276667e+03,1.008012714862293713e+00,1.008440272872996202e+00
1.000000000000000194e-02,2.737400000000000091e+03,9.296999999999999318e+02,5.241761824015811726e+03,1.007503168640244251e+00,1.007707850555898954e+00
1.000000000000000194e-02,2.737400000000000091e+03,1.128000000000000000e+03,5.135650192254482135e+03,1.006838103852075506e+00,1.006897055976480049e+00
1.000000000000000194e-02,2.737400000000000091e+03,1.325000000000000000e+03,5.100530773976208366e+03,1.006293813606771392e+00,1.006311126789059207e+00
1.000000000000000194e-02,2.737400000000000091e+03,1.655000000000000000e+03,5.049081490608342392e+03,1.005592554171105490e+00,1.005559686530203001e+00
1.000000000000000194e-02,2.737400000000000091e+03,2.117000000000000000e+03,5.045602975680685631e+03,1.004917641917798310e+00,1.004887317541500957e+00
1.000000000000000194e-02,2.737400000000000091e+03,2.578000000000000000e+03,5.064703190287956204e+03,1.004463918696174574e+00,1.004450536175682807e+00
1.000000000000000194e-02,3.143699999999999818e+03,4.180000000000000000e+02,5.847588504327427472e+03,1.007562308231477077e+00,1.008586526011027829e+00
1.000000000000000194e-02,3.143699999999999818e+03,5.580000000000000000e+02,5.898894718289638149e+03,1.006509687522399554e+00,1.007461485431952131e+00
1.000000000000000194e-02,3.143699999999999818e+03,6.660000000000000000e+02,5.717736448243360428e+03,1.005856620912294996e+00,1.006524673828336436e+00
1.000000000000000194e-02,3.143699999999999818e+03,7.980000000000000000e+02,5.372693413421281548e+03,1.005211555465893136e+00,1.005488829876923340e+00
1.000000000000000194e-02,3.143699999999999818e+03,9.296999999999999318e+02,5.226777734784415770e+03,1.004699388995129894e+00,1.004827219031832586e+00
1.000000000000000194e-02,3.143699999999999818e+03,1.128000000000000000e+03,5.121612987541546318e+03,1.004109585181211850e+00,1.004144917577156848e+00
1.000000000000000194e-02,3.143699999999999818e+03,1.325000000000000000e+03,5.087225324167387953e+03,1.003675937608405455e+00,1.003686023092427160e+00
1.000000000000000194e-02,3.143699999999999818e+03,1.655000000000000000e+03,5.036970926781791604e+03,1.003166347638846378e+00,1.003147783536008530e+00
