f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,4.075000000000000000e+02,9.371533750938131561e+03,nan,nan
0.000000000000000000e+00,nan,4.785000000000000000e+02,1.011492463497554127e+04,nan,nan
0.000000000000000000e+00,nan,5.386000000000000227e+02,1.055866821252082809e+04,nan,nan
0.000000000000000000e+00,nan,7.836999999999999318e+02,9.610065184710747417e+03,nan,nan
0.000000000000000000e+00,nan,8.780000000000000000e+02,9.056374882785212321e+03,nan,nan
0.000000000000000000e+00,nan,1.033000000000000000e+03,8.448737041473752470e+03,nan,nan
0.000000000000000000e+00,nan,1.372000000000000000e+03,8.139594849845610952e+03,nan,nan
0.000000000000000000e+00,nan,1.711000000000000000e+03,7.896885504842798582e+03,nan,nan
0.000000000000000000e+00,nan,2.050000000000000000e+03,7.950513825557781274e+03,nan,nan
0.000000000000000000e+00,nan,2.559000000000000000e+03,7.860645149813550233e+03,nan,nan
1.000000000000000194e-02,1.506800000000000182e+03,4.075000000000000000e+02,9.485756072098005461e+03,1.010100475701839473e+00,1.012188220647280978e+00
1.000000000000000194e-02,1.506800000000000182e+03,4.785000000000000000e+02,1.024589994067570660e+04,1.010098703048700530e+00,1.012948717902185436e+00
1.000000000000000194e-02,1.506800000000000182e+03,5.386000000000000227e+02,1.070067715770073301e+04,1.010095123711199028e+00,1.013449512980387546e+00
1.000000000000000194e-02,1.506800000000000182e+03,7.836999999999999318e+02,9.728772030740296032e+03,1.010040417915047950e+00,1.012352345561443823e+00
1.000000000000000194e-02,1.506800000000000182e+03,8.780000000000000000e+02,9.162516335593951226e+03,1.009996043300570356e+00,1.011720081620130163e+00
1.000000000000000194e-02,1.506800000000000182e+03,1.033000000000000000e+03,8.540945742290250564e+03,1.009893083069302699e+00,1.010913903505797018e+00
1.000000000000000194e-02,1.506800000000000182e+03,1.372000000000000000e+03,8.222785098057294817e+03,1.009564353354237110e+00,1.010220440912149575e+00
1.000000000000000194e-02,1.506800000000000182e+03,1.711000000000000000e+03,7.972148362549558442e+03,1.009161319179838090e+00,1.009530701396215591e+00
1.000000000000000194e-02,1.506800000000000182e+03,2.050000000000000000e+03,8.023290802382843140e+03,1.008748520143166960e+00,1.009153745081369680e+00
1.000000000000000194e-02,1.506800000000000182e+03,2.559000000000000000e+03,7.927206520153329620e+03,1.008179222374356199e+00,1.008467672700040119e+00
1.000000000000000194e-02,1.767600000000000136e+03,4.075000000000000000e+02,9.485569656490388297e+03,1.010084025247492967e+00,1.012168328961184249e+00
1.000000000000000194e-02,1.767600000000000136e+03,4.785000000000000000e+02,1.024535914124402552e+04,1.010057122155354703e+00,1.012895252409243385e+00
1.000000000000000194e-02,1.767600000000000136e+03,5.386000000000000227e+02,1.069962259768941840e+04,1.010020403503108621e+00,1.013349636746937676e+00
1.000000000000000194e-02,1.767600000000000136e+03,7.836999999999999318e+02,9.725154061071551041e+03,1.009735081758734943e+00,1.011975868440924353e+00
1.000000000000000194e-02,1.767600000000000136e+03,8.780000000000000000e+02,9.158075244179997753e+03,1.009578479269379825e+00,1.011229698716216152e+00
1.000000000000000194e-02,1.767600000000000136e+03,1.033000000000000000e+03,8.535296007768145500e+03,1.009287496976541965e+00,1.010245195923306305e+00
1.000000000000000194e-02,1.767600000000000136e+03,1.372000000000000000e+03,8.214398059703475155e+03,1.008600661663533238e+00,1.009190040934197397e+00
1.000000000000000194e-02,1.767600000000000136e+03,1.711000000000000000e+03,7.962206270881400087e+03,1.007951509292789982e+00,1.008271712436319856e+00
1.000000000000000194e-02,1.767600000000000136e+03,2.050000000000000000e+03,8.011977981548734533e+03,1.007389067205018307e+00,1.007730840715397536e+00
1.000000000000000194e-02,1.767600000000000136e+03,2.559000000000000000e+03,7.915257160031607782e+03,1.006711200677859130e+00,1.006947522649505711e+00
1.000000000000000194e-02,2.028400000000000091e+03,4.075000000000000000e+02,9.483249235790692182e+03,1.009879247859529983e+00,1.011920725872792914e+00
1.000000000000000194e-02,2.028400000000000091e+03,4.785000000000000000e+02,1.024084096730326564e+04,1.009709691826077060e+00,1.012448568513533820e+00
1.000000000000000194e-02,2.028400000000000091e+03,5.386000000000000227e+02,1.069281659685572595e+04,1.009538080086744172e+00,1.012705047799098423e+00
1.000000000000000194e-02,2.028400000000000091e+03,7.836999999999999318e+02,9.713015082477682881e+03,1.008710310045600300e+00,1.010712715864896083e+00
1.000000000000000194e-02,2.028400000000000091e+03,8.780000000000000000e+02,9.145339337018222068e+03,1.008380682778130089e+00,1.009823406758715070e+00
1.000000000000000194e-02,2.028400000000000091e+03,1.033000000000000000e+03,8.521990652964217588e+03,1.007861020963742194e+00,1.008670362343019100e+00
1.000000000000000194e-02,2.028400000000000091e+03,1.372000000000000000e+03,8.199411789549749301e+03,1.006878387462858848e+00,1.007348884165318426e+00
1.000000000000000194e-02,2.028400000000000091e+03,1.711000000000000000e+03,7.947118982850609427e+03,1.006115379417879430e+00,1.006361175931575147e+00
