f_spot,tempSpot,wavelength,D_lambda,epsilon_Rackham,epsilon_ourWork
0.000000000000000000e+00,nan,3.900000000000000000e+02,1.993758585868266164e+04,nan,nan
0.000000000000000000e+00,nan,4.740000000000000000e+02,1.926205988544216234e+04,nan,nan
0.000000000000000000e+00,nan,5.580000000000000000e+02,1.874954561401076353e+04,nan,nan
0.000000000000000000e+00,nan,6.660000000000000000e+02,1.823186162174472702e+04,nan,nan
0.000000000000000000e+00,nan,7.980000000000000000e+02,1.790713339142668701e+04,nan,nan
0.000000000000000000e+00,nan,9.296999999999999318e+02,1.766670422014249198e+04,nan,nan
0.000000000000000000e+00,nan,1.128000000000000000e+03,1.751067892869884236e+04,nan,nan
0.000000000000000000e+00,nan,1.523000000000000000e+03,1.715634960264278561e+04,nan,nan
0.000000000000000000e+00,nan,2.182000000000000000e+03,1.691419670982674506e+04,nan,nan
0.000000000000000000e+00,nan,2.842000000000000000e+03,1.687880423839272044e+04,nan,nan
0.000000000000000000e+00,nan,5.150000000000000000e+03,1.617008029015609645e+04,nan,nan
1.000000000000000194e-02,6.350000000000000000e+03,3.900000000000000000e+02,1.999613973707792320e+04,1.002318861550646201e+00,1.002936858996384517e+00
1.000000000000000194e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.930795717260969104e+04,1.001960863417076464e+00,1.002382781874861628e+00
1.000000000000000194e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.878719277048934600e+04,1.001706806323096943e+00,1.002007897004738579e+00
1.000000000000000194e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.826242208550443684e+04,1.001474565259450333e+00,1.001676211919207526e+00
1.000000000000000194e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.793261185453898361e+04,1.001279020350700044e+00,1.001422810818201281e+00
1.000000000000000194e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.768879487007679563e+04,1.001142594814377951e+00,1.001250411489264414e+00
1.000000000000000194e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.752967758235890506e+04,1.001001883691544636e+00,1.001084975273512923e+00
1.000000000000000194e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.717156137709663381e+04,1.000839459948098531e+00,1.000886655658468571e+00
1.000000000000000194e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.692667797419400449e+04,1.000709099039930772e+00,1.000737916472261846e+00
1.000000000000000194e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.688997370609246354e+04,1.000643489096070038e+00,1.000661745200784880e+00
1.000000000000000194e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.617888139697154475e+04,1.000552479909279313e+00,1.000544283433200121e+00
1.482758620689655048e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.002439267739763818e+04,1.003442165287727450e+00,1.004353928270466767e+00
1.482758620689655048e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.933009347870151396e+04,1.002910242039807054e+00,1.003531999882877113e+00
1.482758620689655048e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.880534549074641836e+04,1.002532868811179423e+00,1.002976065547634299e+00
1.482758620689655048e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.827715581227284929e+04,1.002187981885014789e+00,1.002484342601311917e+00
1.482758620689655048e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.794489342541671795e+04,1.001897650170507470e+00,1.002108658776625250e+00
1.482758620689655048e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.769944244195320425e+04,1.001695127338970925e+00,1.001853102955863495e+00
1.482758620689655048e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.753883348400386967e+04,1.001486270542050416e+00,1.001607850581903048e+00
1.482758620689655048e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.717889275986927896e+04,1.001245221108748362e+00,1.001313983320963663e+00
1.482758620689655048e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.693268431980154855e+04,1.001051782764520892e+00,1.001093023233202928e+00
1.482758620689655048e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.689535782213958009e+04,1.000954435499818107e+00,1.000980732018279307e+00
1.482758620689655048e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.618312313339287357e+04,1.000819412897492988e+00,1.000806603492545355e+00
1.965517241379310248e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.005277764570145882e+04,1.004567989633846636e+00,1.005777619609278473e+00
1.965517241379310248e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.935232699882727320e+04,1.003861421480575888e+00,1.004686264808746232e+00
1.965517241379310248e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.882357506228049533e+04,1.003360294856785462e+00,1.003948332924634368e+00
1.965517241379310248e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.829195072301481559e+04,1.002902415662938473e+00,1.003295829165268715e+00
1.965517241379310248e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.795722472572025436e+04,1.002517044890889553e+00,1.002797283808560369e+00
1.965517241379310248e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.771013245505015220e+04,1.002248270087874760e+00,1.002458196750594110e+00
1.965517241379310248e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.754802509777431260e+04,1.001971126411082436e+00,1.002132765338656473e+00
1.965517241379310248e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.718625306749532683e+04,1.001651311410888701e+00,1.001742996939624986e+00
1.965517241379310248e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.693871212319131155e+04,1.001394701267354748e+00,1.001449398619700615e+00
1.965517241379310248e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.690076381352789758e+04,1.001265575214614234e+00,1.001301014860118244e+00
1.965517241379310248e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.618738162087751698e+04,1.001086488351466297e+00,1.001069959481398097e+00
2.448275862068964928e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.008117553886312817e+04,1.005696343082618238e+00,1.007201959214030662e+00
2.448275862068964928e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.937456442332696679e+04,1.004814406868039134e+00,1.005840732432248030e+00
2.448275862068964928e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.884180492670550666e+04,1.004189087838881500e+00,1.004920615922862748e+00
2.448275862068964928e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.830674467819693018e+04,1.003617868770077415e+00,1.004107263317690624e+00
2.448275862068964928e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.796955385626986026e+04,1.003137205931358356e+00,1.003485787673478624e+00
2.448275862068964928e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.772082011660636272e+04,1.002802024072558362e+00,1.003063157439528119e+00
2.448275862068964928e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.755721370006024881e+04,1.002456451980177521e+00,1.002657508115527119e+00
2.448275862068964928e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.719361022031951143e+04,1.002057731255167283e+00,1.002171826672906274e+00
2.448275862068964928e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.694473719260625148e+04,1.001737854789790827e+00,1.001805612368322773e+00
2.448275862068964928e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.690616892351159913e+04,1.001576908420782175e+00,1.001621245482344991e+00
2.448275862068964928e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.619163893020225623e+04,1.001353706385283759e+00,1.001333242609765195e+00
2.931034482758620649e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.010959519584221198e+04,1.006827234165861062e+00,1.008627390416209302e+00
2.931034482758620649e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.939681271568738521e+04,1.005769203350346253e+00,1.006995764266472193e+00
2.931034482758620649e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.886004081545156077e+04,1.005019251147607262e+00,1.005893220226000029e+00
2.931034482758620649e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.832154237789984472e+04,1.004334343389504225e+00,1.004918902853461526e+00
2.931034482758620649e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.798188478501660938e+04,1.003758134714939798e+00,1.004174391956320189e+00
2.931034482758620649e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.773150875332884971e+04,1.003356390306726187e+00,1.003668173326435875e+00
2.931034482758620649e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.756640218437910517e+04,1.002942247932193220e+00,1.003182244155532699e+00
2.931034482758620649e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.720096805425008642e+04,1.002464481042881550e+00,1.002600696106147549e+00
2.931034482758620649e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.695076210824919690e+04,1.002081243573518243e+00,1.002161817025647439e+00
2.931034482758620649e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.691157495750850285e+04,1.001888435298871061e+00,1.001941530848568185e+00
2.931034482758620649e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.619589648373420641e+04,1.001621067113151353e+00,1.001596540840544058e+00
3.413793103448276023e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.013802140592202340e+04,1.007960671453813184e+00,1.010053150299140778e+00
3.413793103448276023e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.941905999550730485e+04,1.006725816095233039e+00,1.008150743534122151e+00
3.413793103448276023e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.887827302152966877e+04,1.005850788184322830e+00,1.006865628115420241e+00
3.413793103448276023e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.833633591802574665e+04,1.005051841710529859e+00,1.005730314240451229e+00
3.413793103448276023e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.799421096766984192e+04,1.004379832668185424e+00,1.004862731199894110e+00
3.413793103448276023e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.774219268755217126e+04,1.003911369806326448e+00,1.004272923034711384e+00
3.413793103448276023e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.757558570466544188e+04,1.003428514951311579e+00,1.003706696709527391e+00
3.413793103448276023e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.720832101274727393e+04,1.002871561175981308e+00,1.003029281362772140e+00
3.413793103448276023e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.695678393151134514e+04,1.002424867860558066e+00,1.002517838855442545e+00
3.413793103448276023e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.691697901549371454e+04,1.002200156029653844e+00,1.002261699144194163e+00
3.413793103448276023e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.620015199760826908e+04,1.001888570649397181e+00,1.001859712933551805e+00
3.896551724137931744e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.016652769686833199e+04,1.009096663555346884e+00,1.011482926759960099e+00
3.896551724137931744e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.944136395788187292e+04,1.007684250290113770e+00,1.009308665506497782e+00
3.896551724137931744e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.889654892955350442e+04,1.006683702361654165e+00,1.007840366831764145e+00
3.896551724137931744e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.835116379765566671e+04,1.005770365928725818e+00,1.006543609116067994e+00
3.896551724137931744e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.800656451164817190e+04,1.005002301221184169e+00,1.005552598400204500e+00
3.896551724137931744e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.775289972406690504e+04,1.004466963589555784e+00,1.004878980417079681e+00
3.896551724137931744e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.758478823391196420e+04,1.003915253723042467e+00,1.004232234827380665e+00
3.896551724137931744e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.721568914708826560e+04,1.003278972057069396e+00,1.003458751180748898e+00
3.896551724137931744e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.696281864395310549e+04,1.002768727893262879e+00,1.002874622718447739e+00
3.896551724137931744e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.692239522898597716e+04,1.002512070794128629e+00,1.002582587603812803e+00
3.896551724137931744e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.620441659862570305e+04,1.002156217108471914e+00,1.002123446999240386e+00
4.379310344827585383e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.019506611782939581e+04,1.010235219118188699e+00,1.012914314750629874e+00
4.379310344827585383e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.946368677019682946e+04,1.008644511142176681e+00,1.010467566083472324e+00
4.379310344827585383e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.891483740779231812e+04,1.007517997103539953e+00,1.008815775975820950e+00
4.379310344827585383e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.836600064352389381e+04,1.006489918245946580e+00,1.007357395781195653e+00
4.379310344827585383e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.801892427156581834e+04,1.005625541807571022e+00,1.006242812721362290e+00
4.379310344827585383e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.776361147876759424e+04,1.005023172676866361e+00,1.005485304866009733e+00
4.379310344827585383e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.759399395071292747e+04,1.004402464934226025e+00,1.004757954980119994e+00
4.379310344827585383e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.722306025454267728e+04,1.003686714089403242e+00,1.003888394293947828e+00
4.379310344827585383e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.696885592054031440e+04,1.003112823914318330e+00,1.003231558178687477e+00
4.379310344827585383e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.692781418616184965e+04,1.002824179773519564e+00,1.002903638615444626e+00
4.379310344827585383e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.620868287448773481e+04,1.002424006604947904e+00,1.002387284641693466e+00
4.862068965517240410e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.022363466492960288e+04,1.011376346829137463e+00,1.014347213763715061e+00
4.862068965517240410e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.948602717826874868e+04,1.009606603878477449e+00,1.011627380153451661e+00
4.862068965517240410e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.893313757305581385e+04,1.008353675845279129e+00,1.009791808442966232e+00
4.862068965517240410e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.838084590134114842e+04,1.007210500870352021e+00,1.008171643833602360e+00
4.862068965517240410e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.803128981983703852e+04,1.006249555864540568e+00,1.006933350285411644e+00
4.862068965517240410e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.777432759713992709e+04,1.005579998090971872e+00,1.006091876314696432e+00
4.862068965517240410e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.760320261578907230e+04,1.004890149273036437e+00,1.005283843502983165e+00
4.862068965517240410e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.723043275105373687e+04,1.004094787676895750e+00,1.004318118371727575e+00
4.862068965517240410e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.697489577423893934e+04,1.003457156166742914e+00,1.003588646002735008e+00
4.862068965517240410e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.693323588891315740e+04,1.003136483149275948e+00,1.003224852291172642e+00
4.862068965517240410e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.621295082579510199e+04,1.002691939253520292e+00,1.002651225898062215e+00
5.344827586206896824e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.025221353065509538e+04,1.012520055414285691e+00,1.015780630323175115e+00
5.344827586206896824e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.950836979305392742e+04,1.010570533746033783e+00,1.012787308786113893e+00
5.344827586206896824e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.895143688571076927e+04,1.009190742033577504e+00,1.010767795436553929e+00
5.344827586206896824e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.839568944004588047e+04,1.007932116016430735e+00,1.008985797594347700e+00
5.344827586206896824e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.804365266208618414e+04,1.006874344832856094e+00,1.007623736735264286e+00
5.344827586206896824e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.778504079061449374e+04,1.006137440856853527e+00,1.006698282203484229e+00
5.344827586206896824e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.761240790242124422e+04,1.005378307428985485e+00,1.005809539089639548e+00
5.344827586206896824e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.723780269360486272e+04,1.004503193224117297e+00,1.004747693585675616e+00
5.344827586206896824e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.698093425885760371e+04,1.003801724893889302e+00,1.003945652884129291e+00
5.344827586206896824e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.693865670718419642e+04,1.003448981103073123e+00,1.003546013565068451e+00
5.344827586206896824e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.621721759502647910e+04,1.002960015169007013e+00,1.002915094051764155e+00
5.827586206896550464e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.028081736888598243e+04,1.013666353639242068e+00,1.017215299416696750e+00
5.827586206896550464e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.953072591170435044e+04,1.011536306011921127e+00,1.013947938479063726e+00
5.827586206896550464e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.896974449969435227e+04,1.010029199126595278e+00,1.011744225178398127e+00
5.827586206896550464e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.841053860407659886e+04,1.008654765905021566e+00,1.009800259898789854e+00
5.827586206896550464e-02,6.350000000000000000e+03,7.980000000000000000e+02,1.805601898425390755e+04,1.007499910156861578e+00,1.008314317516532332e+00
5.827586206896550464e-02,6.350000000000000000e+03,9.296999999999999318e+02,1.779575644955322423e+04,1.006695502001766718e+00,1.007304827646550827e+00
5.827586206896550464e-02,6.350000000000000000e+03,1.128000000000000000e+03,1.762161426661723453e+04,1.005866940092924988e+00,1.006335296213819452e+00
5.827586206896550464e-02,6.350000000000000000e+03,1.523000000000000000e+03,1.724517382853851814e+04,1.004911931136296399e+00,1.005177338300569989e+00
5.827586206896550464e-02,6.350000000000000000e+03,2.182000000000000000e+03,1.698697429280138385e+04,1.004146530339444565e+00,1.004302751364618773e+00
5.827586206896550464e-02,6.350000000000000000e+03,2.842000000000000000e+03,1.694407918012819209e+04,1.003761673816813582e+00,1.003867272871557859e+00
5.827586206896550464e-02,6.350000000000000000e+03,5.150000000000000000e+03,1.622148518021748714e+04,1.003228234466348567e+00,1.003179012666540970e+00
6.310344827586204797e-02,6.350000000000000000e+03,3.900000000000000000e+02,2.030952172441014045e+04,1.014815250309355266e+00,1.018655010108232561e+00
6.310344827586204797e-02,6.350000000000000000e+03,4.740000000000000000e+02,1.955315469439122899e+04,1.012503925963368356e+00,1.015112340563797622e+00
6.310344827586204797e-02,6.350000000000000000e+03,5.580000000000000000e+02,1.898810897641112388e+04,1.010869050593994345e+00,1.012723687672841155e+00
6.310344827586204797e-02,6.350000000000000000e+03,6.660000000000000000e+02,1.842543287220676939e+04,1.009378452763337153e+00,1.010617196119521610e+00
